assessmentId,internalTaxonId,scientificName,code,name,note
118976576,54583,Anaxyrus baxteri,2.1,Site/area management,
118976576,54583,Anaxyrus baxteri,4.3,Awareness & communications,
118976576,54583,Anaxyrus baxteri,1.2,Resource & habitat protection,
118976576,54583,Anaxyrus baxteri,1.1,Site/area protection,
118976576,54583,Anaxyrus baxteri,3.2,Species recovery,
118976576,54583,Anaxyrus baxteri,3.4.1,Captive breeding/artificial propagation,
118976576,54583,Anaxyrus baxteri,3.3.1,Reintroduction,
8326304,184749,Pseudamnicola letourneuxiana,2.1,Site/area management,
56605215,56605187,Diplazium laffanianum,3.3.1,Reintroduction,""
56605215,56605187,Diplazium laffanianum,3.2,Species recovery,""
16935685,54837,Nectophrynoides asperginis,2.3,Habitat & natural process restoration,
16935685,54837,Nectophrynoides asperginis,2.1,Site/area management,
16935685,54837,Nectophrynoides asperginis,1.1,Site/area protection,
16935685,54837,Nectophrynoides asperginis,3.3.1,Reintroduction,
16935685,54837,Nectophrynoides asperginis,3.2,Species recovery,
137328770,19948,Scardinius racovitzai,3.3.1,Reintroduction,""
137328770,19948,Scardinius racovitzai,2.1,Site/area management,""
137328770,19948,Scardinius racovitzai,2.3,Habitat & natural process restoration,""
61462199,231,Acipenser dabryanus,2.3,Habitat & natural process restoration,
61462199,231,Acipenser dabryanus,2.1,Site/area management,
61462199,231,Acipenser dabryanus,1.2,Resource & habitat protection,
61462199,231,Acipenser dabryanus,5.1.2,National level,
61462199,231,Acipenser dabryanus,4.3,Awareness & communications,
61462199,231,Acipenser dabryanus,4.2,Training,
61462199,231,Acipenser dabryanus,4.1,Formal education,
61462199,231,Acipenser dabryanus,1.1,Site/area protection,
61462199,231,Acipenser dabryanus,3.4.1,Captive breeding/artificial propagation,
61462199,231,Acipenser dabryanus,3.3.2,Benign introduction,
61462199,231,Acipenser dabryanus,3.1.1,Harvest management,
192625464,18890,Barbodes herrei,2.1,Site/area management,
192625464,18890,Barbodes herrei,1.1,Site/area protection,
157724204,23156,Xiphophorus couchianus,1.2,Resource & habitat protection,""
157724204,23156,Xiphophorus couchianus,4.3,Awareness & communications,""
157724204,23156,Xiphophorus couchianus,4.2,Training,""
157724204,23156,Xiphophorus couchianus,4.1,Formal education,""
157724204,23156,Xiphophorus couchianus,1.1,Site/area protection,""
157724204,23156,Xiphophorus couchianus,3.4.1,Captive breeding/artificial propagation,""
157724204,23156,Xiphophorus couchianus,3.3.1,Reintroduction,""
157724204,23156,Xiphophorus couchianus,3.2,Species recovery,""
1998432,191696,Allotoca goslinei,2.2,Invasive/problematic species control,""
1998432,191696,Allotoca goslinei,2.1,Site/area management,""
1998432,191696,Allotoca goslinei,4.3,Awareness & communications,""
1998432,191696,Allotoca goslinei,1.1,Site/area protection,""
1998432,191696,Allotoca goslinei,3.4.1,Captive breeding/artificial propagation,""
1998432,191696,Allotoca goslinei,3.3.1,Reintroduction,""
2757376,20285,Skiffia francesae,2.3,Habitat & natural process restoration,""
2757376,20285,Skiffia francesae,2.2,Invasive/problematic species control,""
2757376,20285,Skiffia francesae,2.1,Site/area management,""
2757376,20285,Skiffia francesae,1.2,Resource & habitat protection,""
2757376,20285,Skiffia francesae,4.3,Awareness & communications,""
2757376,20285,Skiffia francesae,1.1,Site/area protection,""
2757376,20285,Skiffia francesae,3.4.1,Captive breeding/artificial propagation,""
2757376,20285,Skiffia francesae,3.3.1,Reintroduction,""
110463483,110463465,Oncorhynchus kawamurae,3.4.1,Captive breeding/artificial propagation,""
110463483,110463465,Oncorhynchus kawamurae,3.3.1,Reintroduction,""
546437,14881,Notropis amecae,2.2,Invasive/problematic species control,""
546437,14881,Notropis amecae,2.1,Site/area management,""
21420776,22379,Tropodiaptomus ctenopus,4.3,Awareness & communications,""
